Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition,Date
8:52 PM,71 F,58 F,63 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
9:52 PM,70 F,59 F,68 %,SE,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Partly Cloudy,2019-05-01
10:52 PM,69 F,59 F,70 %,SSE,8 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
11:52 PM,69 F,60 F,73 %,S,6 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
12:52 AM,67 F,60 F,79 %,SSE,5 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
1:52 AM,66 F,60 F,81 %,SE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
2:52 AM,66 F,61 F,84 %,ESE,3 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
3:52 AM,66 F,62 F,87 %,SE,3 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
4:35 AM,68 F,63 F,84 %,SSE,7 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
4:52 AM,69 F,64 F,84 %,SSE,7 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
5:02 AM,70 F,64 F,81 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
5:52 AM,72 F,65 F,78 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
6:52 AM,75 F,66 F,73 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
7:52 AM,77 F,66 F,69 %,SSE,5 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
8:31 AM,78 F,66 F,66 %,S,8 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
8:52 AM,79 F,65 F,62 %,S,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
9:52 AM,81 F,65 F,58 %,SSE,12 mph,17 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
10:52 AM,82 F,64 F,54 %,SSE,12 mph,0 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
11:52 AM,83 F,64 F,53 %,SSE,9 mph,17 mph,29.1 in,0.0 in,0.0 in,Mostly Cloudy,2019-05-01
